Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,P3,EEGNet,0.6818749904632568
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,ERN,EEGNet,0.8536060452461243
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,LRP,EEGNet,0.8212147355079651
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,MMN,EEGNet,0.5741651058197021
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N170,EEGNet,0.7573120594024658
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N2pc,EEGNet,0.6606451869010925
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N400,EEGNet,0.6571212410926819
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,P3,EEGNet,0.6750102639198303
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,ERN,EEGNet,0.8668100833892822
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,LRP,EEGNet,0.8254674077033997
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,MMN,EEGNet,0.5777550935745239
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,N170,EEGNet,0.7634375095367432
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,N2pc,EEGNet,0.6666486263275146
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,N400,EEGNet,0.6681249737739563
None,None,20 Hz,0.1 Hz,P9P10,linear,None,False,P3,EEGNet,0.6948437690734863
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,ERN,EEGNet,0.8572553396224976
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,LRP,EEGNet,0.8108755350112915
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,MMN,EEGNet,0.5752401351928711
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N170,EEGNet,0.7556250095367432
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N2pc,EEGNet,0.6625028252601624
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N400,EEGNet,0.6606249809265137
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Interpolate,P3,EEGNet,0.6782812476158142
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,ERN,EEGNet,0.8637111783027649
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,LRP,EEGNet,0.8168566226959229
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,MMN,EEGNet,0.5735102295875549
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,N170,EEGNet,0.7618246078491211
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,N2pc,EEGNet,0.665833055973053
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,N400,EEGNet,0.6645084023475647
None,None,20 Hz,0.1 Hz,P9P10,linear,None,Int. or reject,P3,EEGNet,0.6763525009155273
None,None,20 Hz,0.1 Hz,average,None,200ms,False,ERN,EEGNet,0.8680359721183777
None,None,20 Hz,0.1 Hz,average,None,200ms,False,LRP,EEGNet,0.8328346014022827
None,None,20 Hz,0.1 Hz,average,None,200ms,False,MMN,EEGNet,0.5740428566932678
None,None,20 Hz,0.1 Hz,average,None,200ms,False,N170,EEGNet,0.7490624785423279
None,None,20 Hz,0.1 Hz,average,None,200ms,False,N2pc,EEGNet,0.6746106147766113
None,None,20 Hz,0.1 Hz,average,None,200ms,False,N400,EEGNet,0.6645833253860474
None,None,20 Hz,0.1 Hz,average,None,200ms,False,P3,EEGNet,0.6810156106948853
None,None,20 Hz,0.1 Hz,average,None,200ms,Interpolate,ERN,EEGNet,0.8606378436088562
None,None,20 Hz,0.1 Hz,average,None,200ms,Interpolate,LRP,EEGNet,0.8141503930091858
None,None,20 Hz,0.1 Hz,average,None,200ms,Interpolate,MMN,EEGNet,0.5650128722190857
None,None,20 Hz,0.1 Hz,average,None,200ms,Interpolate,N170,EEGNet,0.7285937666893005
